invoice_id,vendor,po_no,invoice_date,due_date,amount,gl_code
INV-1042,Northstar Steel,PO-3301,2026-07-28,2026-08-27,12450.00,5540-10
INV-1043,Vertex Packaging,PO-3305,2026-07-30,2026-08-29,3890.75,5544-10
INV-1044,Coastal Freight,PO-3309,2026-08-01,2026-08-31,2110.00,5540-10
INV-1045,Northstar Steel,PO-3301,2026-08-03,2026-09-02,8960.50,5540-10
INV-1046,Acme Office Supply,PO-3312,2026-08-05,2026-09-04,645.20,7090-10
INV-1047,Vertex Packaging,PO-3315,2026-08-07,2026-09-06,4100.00,5544-10
INV-1048,Coastal Freight,PO-3319,2026-08-09,2026-09-08,3875.00,5540-10
INV-1049,Law Firm Morris LLP,PO-3320,2026-08-11,2026-09-10,2850.00,7075-10
INV-1050,Northstar Steel,PO-3301,2026-08-12,2026-09-11,15230.00,5540-10
INV-1051,Shop Supplies Co,PO-3324,2026-08-14,2026-09-13,980.40,5510-10
