date,description,amount_cad,card_last4
2026-08-03,AIR CANADA YVR-YYZ 08/15,250.00,0807
2026-08-03,SHAW INTERNET VANCOUVER,75.00,0807
2026-08-05,AMZN MKTP *2K9X1,40.00,3474
2026-08-06,META ADS PLATFORMS,150.00,9494
2026-08-09,UBER TRIP 08/07,22.50,7878
2026-08-11,MYSTERY CHARGE DUBLIN LTD,18.50,3474
2026-08-12,ADOBE CC - CREATIVE,60.00,9583
2026-08-15,EXPEDIA REFUND 129.00,-129.00,0807
2026-08-18,TD CANADA TRUST PAYMENT,0.00,0807
2026-08-21,DOORDASH *VAN,45.00,9583
2026-08-24,ANTHROPIC API 20.00 USD,20.00,2169
